Date,Temperature (°C),Humidity (%)
2025-06-10 22:20:01,16.53,74.9
2025-06-10 22:30:01,16.33,76.1
2025-06-10 22:40:01,16.33,75.6
2025-06-10 22:50:01,16.33,76
2025-06-10 23:00:01,16.13,77.1
2025-06-10 23:10:01,15.93,78.8
2025-06-10 23:20:01,15.64,79.3
2025-06-10 23:30:01,15.44,80.2
2025-06-10 23:40:01,15.24,81
2025-06-10 23:50:01,15.14,81.5
2025-06-11 00:00:01,14.94,82.9
2025-06-11 00:10:01,14.85,82.4
2025-06-11 00:20:01,14.75,83.2
2025-06-11 00:30:01,14.45,84.3
2025-06-11 00:40:01,14.25,85.7
2025-06-11 00:50:01,14.05,86.1
2025-06-11 01:00:01,13.86,88.3
2025-06-11 01:10:01,13.86,87.4
2025-06-11 01:20:01,13.86,86.6
2025-06-11 01:30:01,13.76,87.5
2025-06-11 01:40:01,13.76,87.3
2025-06-11 01:50:01,13.76,85.4
2025-06-11 02:00:01,13.76,85.5
2025-06-11 02:10:01,13.66,85.3
2025-06-11 02:20:01,13.56,86.1
2025-06-11 02:30:01,13.26,86.6
2025-06-11 02:40:01,13.06,87.3
2025-06-11 02:50:01,12.77,88.1
2025-06-11 03:00:01,12.67,89.1
2025-06-11 03:10:01,12.57,89.2
2025-06-11 03:20:01,12.47,89.8
2025-06-11 03:30:01,12.37,89.9
2025-06-11 03:40:01,12.27,90.4
2025-06-11 03:50:01,12.17,91.3
2025-06-11 04:00:01,12.07,91.4
2025-06-11 04:10:01,11.97,91.1
2025-06-11 04:20:01,12.07,91.9
2025-06-11 04:30:01,12.17,91.6
2025-06-11 04:40:01,12.07,91.8
2025-06-11 04:50:01,11.97,91.8
2025-06-11 05:00:01,11.97,92.2
2025-06-11 05:10:01,11.88,92.3
2025-06-11 05:20:01,11.88,92.8
2025-06-11 05:30:01,11.78,92.4
2025-06-11 05:40:01,11.68,93.1
2025-06-11 05:50:01,11.68,93.4
2025-06-11 06:00:01,11.78,93.4
2025-06-11 06:10:01,12.07,94
2025-06-11 06:20:01,12.17,93.9
2025-06-11 06:30:01,12.57,93.6
2025-06-11 06:40:01,12.96,93.4
2025-06-11 06:50:01,13.26,90.7
2025-06-11 07:00:01,13.56,88
2025-06-11 07:10:01,13.95,87.6
2025-06-11 07:20:01,14.45,85.5
2025-06-11 07:30:01,14.94,85
2025-06-11 07:40:01,15.54,82.2
2025-06-11 07:50:01,17.22,77
2025-06-11 08:00:01,19.40,67.3
2025-06-11 08:10:01,21.78,61.1
2025-06-11 08:20:01,23.16,57.4
2025-06-11 08:30:01,24.35,53.4
2025-06-11 08:40:01,25.04,50.1
2025-06-11 08:50:01,25.44,49.1
2025-06-11 09:00:01,26.63,46.5
2025-06-11 09:10:01,27.72,46.2
2025-06-11 09:20:01,28.61,45.3
2025-06-11 09:30:01,29.20,41.2
